 Очень удобный сервис. Все устраивает. 	  Андрей Савинов 	8 июля 2017 г.	5
 Пока все норм 	  антон халин 	8 июля 2017 г.	5
 После обновления перестало загружаться. Выдает приветствие и - вылет. Пробовал по нескольку раз- результат тот же. При этом СМС-уведомление приходит.  Еще одна проблема- сильное потребление энергии. Настройки помогают слабо. По данным диспетчера батареи является одним из самых энергозатратных приложений, потребляя энергию даже в состоянии покоя.  Прошло уже много времени. Реакция поддержки- ноль. Вам все равно? 	  Андрей Волков 	8 июля 2017 г.	1
 Отлично 	  Oleg Agapov 	8 июля 2017 г.	5
 Отлично приложение 	  Кристина Кулагина 	8 июля 2017 г.	5
 Да еп мать когда вы уже исправите проблему с рут правами которых нет meizu u10 все чисто,  раньше все работало, какого х&# это выскакивает,  нервы срывает. Исправьте друзья,  исправте! 	  Vergil S 	8 июля 2017 г.	5
 Отличное приложение! 	  Дима Петров 	8 июля 2017 г.	5
 Отлично приложение 	  Кристина Кулагина 	8 июля 2017 г.	5
 Да еп мать когда вы уже исправите проблему с рут правами которых нет meizu u10 все чисто,  раньше все работало, какого х&# это выскакивает,  нервы срывает. Исправьте друзья,  исправте! 	  Vergil S 	8 июля 2017 г.	5
 Отличное приложение! 	  Дима Петров 	8 июля 2017 г.	5
 Что вы сделали со Сбербанком ,вы его просто испортили ,я студент и я не могу вывести деньги с вклада пока что ставлю 2 ,исправьте пожалуйста😔,а потом посмотрим ✌ 	  JANDRO KILLER 	8 июля 2017 г.	2
 Приложение удобно, но из-за антивируса долгий запуск. Не надо думать за меня и включать его, либо сделайте опцию выключения в настройках. Часто не логинится при наличии рабочего соединения с интернетом. 	  Федор Богомолов 	8 июля 2017 г.	4
 Мне нравится! Очень удобно управлять своими финансами. 	   	8 июля 2017 г.	5
 Просто:-) 	  Тима Попов 	8 июля 2017 г.	5
 👌👍✌️ 	   	8 июля 2017 г.	5
 Самый лучший онлайн банк 	  Нияз Кильдияров 	8 июля 2017 г.	5
 Длительное время являюсь клиентом СберБанка. Очень доволен. А с приложением вообще не возникает ни каких проблем с операциями. 	  Андрей Сапожников 	8 июля 2017 г.	5
 куда пропала оплата по штрихкоду? 	  Тимофей Климов 	8 июля 2017 г.	2
 Очень удобно совершать платежи в любом месте и в любое время. 	  shalabYouTube shalabYouTube 	8 июля 2017 г.	5
 Постоянно тормозит 	  Анатолий Тихоненков 	8 июля 2017 г.	1
 Очень удобно 	  Владислав Батурин 	8 июля 2017 г.	5
 Мне нравится , всё устраивает 	   	8 июля 2017 г.	5
 Всё устраивает 	   	8 июля 2017 г.	5
 Спасибо, что работаете над приложением. Добавьте возможность заказывать отчет на эл.почту. 	  Алена Сафронова 	8 июля 2017 г.	5
 После последнего обновления слетели копилки - их видно как обезличенные сберсчета, непонятно что на что. 	  Роман Золотарёв 	8 июля 2017 г.	4
 Очень удобно переводить деньги , оплачивать счета. Спасибо. 	   	8 июля 2017 г.	5
 Норм приложение, но добавьте быстродействия и оплату по NFC 	  Тимофей Петров 	8 июля 2017 г.	4
 Яркий и удобный дизайн! 	   	8 июля 2017 г.	5
 Раньше все было чудно,теперь после обновления ужасно,нет смысла пользоваться через телефон,а как было удобно😁😁 	  Анастасия Иванова 	8 июля 2017 г.	2
 После обновления ограничил функционал на 99%. Видите ли, ему не нравится Навител. Говорит, что типа либо удали его, либо я не буду работать. Удалил приложение СБ. Навител дороже. 	  Сергей Петлин 	8 июля 2017 г.	1
 Приложением в целом довольна, но есть небольшие нюансы 	   	8 июля 2017 г.	3
 Не дождалась пароля после регистрации. Издевательство какое-то 	   	8 июля 2017 г.	1
